"tconst","averageRating","numVotes"
"tt0199217",4.4,122
"tt0280237",2.8,94
"tt0303570",6.9,24
"tt0380870",8.2,84
"tt0383158",7.5,73
"tt0392988",5.3,37
"tt0400059",4.7,37
"tt0429087",7.5,13295
"tt0429350",6,9
"tt0458291",8.1,56
"tt0475784",8.5,517020
"tt0489431",4,8
"tt0489974",7.7,77651
"tt0800296",7.6,45
"tt0804484",7.5,67279
"tt0808491",5.7,4165
"tt10003494",1.8,16
"tt10003848",1.9,31
"tt10004066",6.7,47
"tt10004088",7.2,18
"tt10004466",7.3,43
"tt10005160",8.2,11
"tt10005384",7.7,39
"tt10005454",7.5,41
"tt10005906",7.1,25
"tt10005938",8.6,129
"tt10006004",7.9,29
"tt10006418",5.9,182
"tt10006504",7.6,76
"tt10007310",7.8,13
"tt10009170",7.5,19704
"tt10009280",8.3,7
"tt10009766",6.5,26
"tt10010222",7.4,5
"tt10010542",8,13
"tt10010906",8.2,36
"tt10010964",6.5,28
"tt10011266",7.1,27
"tt10011298",6.3,3835
"tt10011306",6.8,1320
"tt10014308",8.2,33
"tt10014504",8.8,9
"tt10014624",8.9,37
"tt10015246",7.5,104
"tt10015318",8,16
"tt10015696",6.2,34
"tt10015794",7.5,211
"tt10016142",8.4,12
"tt10016160",6.1,7
"tt10016342",6.8,56
"tt10016348",6.5,23
"tt10016548",6.8,6
"tt10016646",6.5,190
"tt10016814",7.5,1015
"tt10017462",8.6,7
"tt10018730",5,58
"tt10019856",6.8,9
"tt10021858",5.9,290
"tt10022066",4.1,25
"tt10022234",8,21
"tt10022848",9.4,425
"tt10022916",6.7,222
"tt10023126",8,6
"tt10023174",7.3,198
"tt10023178",1.5,7568
"tt10023294",7,619
"tt10023306",5.5,147
"tt10025350",8.5,8
"tt10025392",8.1,52
"tt10026844",6.8,97
"tt10027146",7.1,10
"tt10027360",8.5,6
"tt10027572",7.7,16
"tt10027946",6.7,909
"tt10027956",7.9,32
"tt10028418",7.8,25
"tt10031942",8.2,15
